,グリーン,1,2,3,4,5,6,7,8,9,計
0,Par,5,4,3,4,4,5D,4,3N,4,36
1,Back T.,545,415,175,315,352,485,359,177,354,3177
2,R.T,525,395,157,293,347,467,350,164,324,3022
3,Hdcp,2,1,9,8,6,4,5,7,3,­
