,肥後,1,2,3,4,5,6,7,8,9,計
0,Par,4,5,4,4,3N,4,5,3,4,36
1,TOURNAMENT,379,554,362,412,197,380,493,180,369,3326
2,BACK,367,533,348,388,172,349,465,157,338,3117
3,FORWARD,317,489,327,359,142,311,424,113,301,2783
4,Hdcp,2,5,7,1,4,9,3,8,6,­
