,OUT,1,2,3,4,5,6,7,8,9,計
0,Par,5,3,4,4,5D,3N,4,4,4,36
1,Gold,525,173,321,450,583,218,381,336,435,3422
2,Back,502,154,319,422,557,180,365,315,404,3218
3,Reg.,478,139,299,397,536,158,344,288,375,3014
4,Ladies,426,139,252,336,419,135,289,246,300,2542
5,Hdcp,9,17,13,3,1,11,7,15,5,­
