,肥後サンバレーカントリークラブ　IN,10,11,12,13,14,15,16,17,18,計
0,Par,4,4,3N,5,4,4D,3,4,5,36
1,Back,404,372,194,493,411,337,198,392,516,3317
2,REG,386,354,173,466,385,314,167,357,501,3103
3,LADIES,229,205,95,401,376,278,126,315,432,2457
4,Hdcp,12,4,8,6,2,18,10,14,16,­
