,祖母,1,2,3,4,5,6,7,8,9,計
0,Par,4,4D,3,4,4,5,4,3N,5,36
1,Back T.,380,378,152,365,374,561,394,197,616,3417
2,Regular T.,362,361,123,346,351,539,372,174,573,3201
3,Ladie's T.,283,297,100,299,279,456,310,128,489,2641
4,Hdcp,4,10,16,14,2,8,6,18,12,­
