,IN,10,11,12,13,14,15,16,17,18,計
0,Par,4,4D,5,3N,4,4,3N,5,4,36
1,Black,400,408,549,142,310,364,151,538,335,3197
2,Blue,375,390,533,128,296,352,133,513,300,3020
3,White,375,390,533,128,296,351,133,513,300,3019
4,Red,297,313,419,105,287,292,103,412,256,2484
5,Hdcp,16,10,4,14,8,2,18,6,12,­
