,OUT,1,2,3,4,5,6,7,8,9,計
0,Par,4,3N,4,4,5D,4,5,3,4,36
1,Back,398,171,377,374,560,368,558,223,423,3452
2,REGULAR,374,146,343,344,535,345,498,168,363,3116
3,LADIES,338,113,314,296,447,287,458,148,308,2709
4,Hdcp,7,17,13,15,3,11,1,9,5,­
