,雲仙,1,2,3,4,5,6,7,8,9,計
0,Par,4,4,3N,4,4D,5,5,3,4,36
1,Back T.,368,364,200,333,376,488,505,177,384,3195
2,Reg.,343,339,143,310,356,481,465,160,371,2968
3,Ladies.,357,308,150,328,325,456,429,108,285,2746
4,Hdcp,1,6,7,8,3,2,5,9,4,­
