,IN,10,11,12,13,14,15,16,17,18,計
0,Par,4,3N,5D,4,5D,4,4,3,4,36
1,Back,424,208,546,362,595,381,416,201,411,3544
2,Regular,406,173,519,355,573,362,396,188,383,3355
3,Front,383,152,500,326,553,342,376,155,373,3160
4,Gold,308,135,455,306,430,316,354,124,274,2702
5,Ladies,286,117,384,300,386,290,283,83,274,2403
6,Silver,350,135,477,306,510,316,354,134,327,2909
7,Hdcp,8,16,12,18,2,10,14,6,4,­
