,ＩＮ,10,11,12,13,14,15,16,17,18,計
0,Par,4,4,5,3N,4,5,3,4,4D,36
1,Blue,360,330,532,152,386,591,172,385,404,3312
2,White,341,313,496,129,356,565,141,334,344,3019
3,Red,238,288,422,108,301,464,117,272,278,2488
4,Hdcp,10,14,12,18,2,4,16,6,8,­
