,ＯＵＴ,1,2,3,4,5,6,7,8,9,計
0,Par,4,5,3N,4,4,4,3,4,5D,36
1,Blue,336,551,177,352,382,445,168,364,512,3287
2,White,317,499,153,342,358,420,146,328,494,3057
3,Red,256,378,131,265,259,344,111,270,422,2436
4,Hdcp,13,3,17,11,5,1,15,9,7,­
