,IN,10,11,12,13,14,15,16,17,18,計
0,Par,4,3N,4,4,3,5,4,5D,4,36
1,黄,395,205,440,455,200,560,400,545,390,3590
2,青,375,185,420,435,190,535,375,520,375,3410
3,白,355,166,400,410,168,505,360,495,355,3214
4,金,335,145,350,390,158,480,345,450,340,2993
5,赤,310,145,285,309,95,415,345,450,340,2694
6,Hdcp,12,18,6,2,14,4,16,8,10,­
