,IN,10,11,12,13,14,15,16,17,18,計
0,Par,4,5,4D,3N,5,4,4,3,4,36
1,Back,408,511,409,196,568,344,418,180,393,3427
2,REGULAR,358,482,369,152,541,328,387,155,370,3142
3,LADIES,312,452,307,135,464,294,311,128,328,2731
4,Hdcp,12,6,10,14,2,18,4,16,8,­
