,中,1,2,3,4,5,6,7,8,9,計
0,Par,5,3N,4D,4,3N,4D,4,4,5,36
1,Back,500,216,428,330,217,393,380,449,522,3435
2,Regular,475,155,420,317,187,353,359,435,515,3216
3,Ladies,386,114,341,286,128,307,325,365,388,2640
4,Hdcp,2,3,5,4,7,1,9,6,3,­
