,東,1,2,3,4,5,6,7,8,9,計
0,Par,5,3N,4D,4,3N,4,4,4,5D,36
1,Back,528,191,415,449,210,363,349,408,535,3448
2,Regular,514,174,362,426,188,349,328,386,488,3215
3,Ladies,412,142,308,349,135,295,279,309,412,2641
4,Hdcp,2,8,5,1,7,4,9,6,3,­
