,東,1,2,3,4,5,6,7,8,9,計
0,Par,5D,4,3,5,3N,4,3,5,4,36
1,Back T.,502,394,145,563,148,284,201,495,397,3129
2,Reg.,470,358,132,531,144,277,183,476,379,2950
3,GOLD/LADY,437,344,94,491,131,269,142,447,327,2682
4,Hdcp,5,2,8,1,7,4,9,3,6,­
