,ロッキー,1,2,3,4,5,6,7,8,9,計
0,Par,4.0,4.0,5.0,3N,4D,3.0,5.0,4.0,4.0,36
1,Back T.,352.0,315.0,513.0,114,417,150.0,507.0,430.0,388.0,3186
2,Regular T.,333.0,296.0,483.0,98,417,131.0,480.0,332.0,368.0,2938
3,Hdcp,,,,,,,,,,­
