,IN,10,11,12,13,14,15,16,17,18,計
0,Par,5,4,4,3N,4,4,4,3,5D,36
1,Black,554,417,326,184,426,428,391,202,550,3478
2,Blue,554,384,312,184,404,428,391,172,535,3364
3,White,493,351,285,147,372,350,369,140,496,3003
4,Red,461,325,254,116,339,328,338,115,453,2729
5,Hdcp,2,12,18,16,4,6,14,8,10,­
