,東　OUT,1,2,3,4,5,6,7,8,9,計
0,Par,5,3N,4,4,4D,3,4,5,4,36
1,Black,525,145,400,455,460,220,370,539,390,3504
2,Blue,505,135,380,440,415,175,350,514,370,3284
3,White,485,125,370,420,392,165,338,487,360,3142
4,Red,416,120,285,355,352,134,318,369,324,2673
5,Hdcp,9,15,3,7,1,13,11,5,17,­
