,IN,10,11,12,13,14,15,16,17,18,計
0,Par,4,4,3,5,4,4,4,3N,5,36
1,Champion,390,443,178,543,421,450,412,184,618,3639
2,Back,367,421,159,516,398,417,377,165,588,3408
3,Regular,337,410,131,490,368,393,372,145,559,3205
4,Ladies,267,359,94,472,303,349,329,120,491,2784
5,Hdcp,10,4,16,14,2,8,12,18,6,­
