,南　OUT,1,2,3,4,5,6,7,8,9,計
0,Par,5,3N,4,4,4D,4,5,3,4,36
1,Blue,492,161,385,396,401,395,500,175,368,3273
2,White,464,148,370,372,378,348,474,158,353,3065
3,Red,434,133,274,356,305,321,394,131,240,2588
4,Hdcp,9,3,15,1,13,7,11,5,17,­
