,西　OUT,1,2,3,4,5,6,7,8,9,計
0,Par,4.0,5.0,3.0,4.0,4.0,5.0,3.0,4.0,4.0,36
1,Black,398.0,519.0,192.0,415.0,390.0,588.0,231.0,456.0,508.0,3697
2,Blue,398.0,519.0,171.0,393.0,374.0,588.0,196.0,411.0,449.0,3499
3,White,358.0,486.0,161.0,359.0,339.0,545.0,164.0,390.0,375.0,3177
4,Red,326.0,415.0,125.0,331.0,248.0,505.0,117.0,287.0,356.0,2710
5,Hdcp,,,,,,,,,,­
