,西,1,2,3,4,5,6,7,8,9,計
0,Par,5,3N,5,4D,4,4,3,4,4,36
1,Back T.,446,186,521,401,397,372,135,293,335,3086
2,Reg.,435,165,508,384,381,335,121,282,320,2931
3,GOLD/LADY,426,146,405,278,338,293,116,269,250,2521
4,Hdcp,5,8,2,1,4,7,9,6,3,­
