,北,1,2,3,4,5,6,7,8,9,計
0,Par,5,4D,3N,4D,5,4,3N,4,4,36
1,バック,520,362,186,380,585,357,161,422,424,3397
2,レギュラー,503,339,170,363,549,329,139,394,389,3175
3,レディース,460,265,155,297,480,307,125,348,307,2744
4,Hdcp,2,5,8,7,1,4,9,6,3,­
