,霞　OUT,1,2,3,4,5,6,7,8,9,計
0,Par,4,4,3,4,4,5D,4,3N,5,36
1,Back T.,347,342,158,372,391,557,366,189,529,3251
2,Reg.,326,318,151,358,375,507,345,149,478,3007
3,Red.,244,262,139,331,287,426,250,114,410,2463
4,Hdcp,9,3,15,7,13,1,11,17,5,­
