,レイク,1,2,3,4,5,6,7,8,9,計
0,Par,4.0,3.0,5.0,4.0,5D,4.0,4.0,3N,4.0,36
1,Back T.,355.0,213.0,541.0,428.0,532,391.0,300.0,160,354.0,3274
2,Regular T.,304.0,147.0,486.0,383.0,493,387.0,283.0,138,347.0,2968
3,Hdcp,,,,,,,,,,­
