,西,1,2,3,4,5,6,7,8,9,計
0,Par,4,4,5,4,3N,4D,3N,4,5D,36
1,Back,460,366,520,393,207,408,168,389,515,3426
2,Regular,446,345,497,366,178,393,153,341,504,3223
3,Ladies,371,279,460,309,109,268,135,279,438,2648
4,Hdcp,5,8,2,4,7,1,9,6,3,­
