,OUT,1,2,3,4,5,6,7,8,9,計
0,Par,4,5,3,4D,4,3N,4,5,4,36
1,BLACK,395,645,211,423,469,250,376,525,416,3710
2,BLUE,372,568,197,410,449,164,348,510,386,3404
3,WHITE,331,548,158,373,427,147,331,476,365,3156
4,GOLD,310,495,133,352,344,125,311,419,341,2830
5,RED,275,463,94,308,322,92,236,382,287,2459
6,Hdcp,9,15,3,7,1,13,11,5,17,­
