,霞　IN,10,11,12,13,14,15,16,17,18,計
0,Par,4,3N,4,4,5D,3,4,4,5,36
1,Back T.,424,143,318,349,513,189,401,354,482,3173
2,Reg.,379,111,298,328,485,176,362,333,451,2923
3,Red.,330,86,225,298,436,107,320,298,424,2524
4,Hdcp,10,16,4,8,6,14,2,18,12,­
