,東　IN,10,11,12,13,14,15,16,17,18,計
0,Par,5,4,4,3,4,4,3N,4,5D,36
1,Black,540,435,380,165,415,450,185,458,530,3558
2,Blue,520,421,355,155,390,430,170,425,495,3361
3,White,494,403,345,145,375,420,157,395,470,3204
4,Red,378,335,305,140,278,370,147,375,388,2716
5,Hdcp,10,4,16,14,8,2,18,6,12,­
