,筑波　OUT,1,2,3,4,5,6,7,8,9,計
0,Par,4,4,4,4,5D,3N,5,3,4,36
1,Blue,345,385,333,377,566,214,581,175,411,3387
2,White,317,360,307,362,535,162,526,159,385,3113
3,Red,284,300,290,307,432,130,405,97,276,2521
4,Hdcp,3,9,15,7,1,13,5,17,11,­
