,IN,10,11,12,13,14,15,16,17,18,計
0,Par,4,3,5,4,4,4,3N,4,5D,36
1,Champion,420,195,612,442,388,432,178,387,524,3578
2,Blue,413,187,556,388,386,405,162,387,507,3391
3,White,381,164,533,358,361,379,147,381,492,3196
4,Gold,343,122,470,315,322,334,117,318,429,2770
5,Hdcp,10,16,4,8,14,2,18,6,12,­
