,西 ⇒ 中,1,2,3,4,5,6,7,8,9,計
0,Par,4,3,4,5D,4,4,3N,5,4,36
1,Champion,370,155,405,558,438,363,195,575,433,3492
2,Back,351,141,381,488,415,347,176,518,406,3223
3,Regular,323,124,330,464,368,331,158,467,379,2944
4,Ladies,288,107,285,436,331,301,133,438,325,2644
5,Hdcp,7,9,5,4,3,6,8,2,1,­
