,IN,10,11,12,13,14,15,16,17,18,計
0,Par,4,3N,4,5D,4,3,4N,4D,5,36
1,Back,395,180,366,524,410,212,404,427,522,3440
2,Regular,373,155,341,501,384,185,370,410,492,3211
3,Ladies,333,132,322,477,370,153,357,368,465,2977
4,Champ,421,195,385,543,430,228,423,453,550,3628
5,Hdcp,6,12,18,14,8,2,4,10,16,­
