,東　OUT,1,2,3,4,5,6,7,8,9,計
0,Par,5.0,3.0,4.0,3.0,4.0,4.0,5.0,4.0,4.0,36
1,Black,562.0,192.0,400.0,176.0,353.0,439.0,496.0,400.0,420.0,3438
2,Blue,549.0,192.0,381.0,176.0,334.0,439.0,470.0,400.0,408.0,3349
3,White,518.0,170.0,367.0,161.0,316.0,420.0,445.0,385.0,386.0,3168
4,Red,425.0,150.0,278.0,135.0,292.0,331.0,358.0,291.0,358.0,2618
5,Hdcp,,,,,,,,,,­
