,筑波　IN,10,11,12,13,14,15,16,17,18,計
0,Par,5,4,4,4,4,3,4,3N,5D,36
1,Blue,557,439,399,435,389,193,338,164,512,3426
2,White,512,404,378,420,377,164,330,150,484,3219
3,Red,413,310,298,295,319,78,310,125,400,2548
4,Hdcp,4,10,16,2,14,8,6,18,12,­
