,IN,10,11,12,13,14,15,16,17,18,計
0,Par,4,3,4,5,4,4D,4,3N,5,36
1,Blue,459,218,386,486,411,401,341,158,586,3446
2,White,403,199,325,466,360,352,302,131,529,3067
3,RED,296,81,291,414,297,313,230,113,470,2505
4,Hdcp,4,16,10,8,2,14,12,18,6,­
