,IN,10,11,12,13,14,15,16,17,18,計
0,Par,5D,4,3N,4D,5,3N,4,4,4,36
1,Black,491,395,230,495,533,185,355,428,482,3594
2,Blue,471,375,190,464,505,160,330,397,392,3284
3,White,456,358,174,428,485,136,315,359,368,3079
4,Gold,456,308,134,373,455,112,315,359,345,2857
5,Green,408,253,122,295,403,107,250,270,257,2365
6,Red,426,308,134,373,455,112,255,327,330,2720
7,Hdcp,16,4,10,2,8,14,18,12,6,­
