,桜,1,2,3,4,5,6,7,8,9,計
0,Par,4,4,3N,4D,5,3,5D,4,4,36
1,Back,464,455,198,422,554,220,617,387,394,3711
2,Reg.,447,362,167,400,529,188,594,371,367,3425
3,Ladies,360,276,145,302,501,143,488,298,346,2859
4,Hdcp,1,3,5,2,9,4,8,6,7,­
