,中,1,2,3,4,5,6,7,8,9,計
0,Par,5,4,3N,5D,4D,3N,4,4,4,36
1,バック,523,417,182,502,427,180,355,327,422,3335
2,レギュラー,503,397,169,495,400,159,338,302,402,3165
3,レディース,438,301,142,424,365,112,328,251,340,2701
4,Hdcp,6,2,9,5,1,3,8,4,7,­
