,梅,1,2,3,4,5,6,7,8,9,計
0,Par,5,4,4D,4,4,3N,5,3,4D,36
1,Back,542,325,395,427,440,167,535,173,408,3412
2,Reg.,523,311,383,394,425,144,500,155,396,3231
3,Ladies,456,225,305,289,289,140,440,130,359,2633
4,Hdcp,8,6,1,2,3,7,5,9,4,­
