,イン,10,11,12,13,14,15,16,17,18,計
0,Par,4,3N,5,4,4D,4,3N,5,4D,36
1,Champion,383,175,552,409,427,388,189,513,434,3470
2,Back,365,168,517,369,411,374,160,500,416,3280
3,Regular,324,150,488,361,395,358,138,474,401,3089
4,Fｒｏｎｔ,290,140,462,330,377,335,126,437,369,2866
5,Ladies,290,118,424,330,377,277,101,405,322,2644
6,Hdcp,5,8,2,7,1,4,9,6,3,­
