,中 ⇒ 東,1,2,3,4,5,6,7,8,9,計
0,Par,4,4,5,3N,4,4,3,4,5D,36
1,Champion,437,420,503,184,400,413,225,462,618,3662
2,Back,416,398,480,159,376,384,187,392,566,3358
3,Regular,369,370,459,136,350,359,146,345,488,3022
4,Ladies,328,341,418,117,314,300,131,310,437,2696
5,Hdcp,2,4,8,9,6,5,7,3,1,­
