,南,1,2,3,4,5,6,7,8,9,計
0,Par,4,3,4,5,5D,3N,4,4,4,36
1,Back T.,328,150,275,518,450,155,260,293,306,2735
2,Reg.,315,148,268,501,441,142,246,283,296,2640
3,GOLD/LADY,283,141,250,414,419,132,227,270,286,2422
4,Hdcp,2,8,5,1,4,7,9,6,3,­
