,楓,1,2,3,4,5,6,7,8,9,計
0,Par,4,5D,4,3,5,4,3N,4,4D,36
1,Back,411,588,400,168,557,412,180,384,463,3563
2,Reg.,400,533,375,143,543,397,175,365,447,3378
3,Ladies,378,413,323,131,434,238,147,358,408,2830
4,Hdcp,6,7,8,3,4,2,9,5,1,­
