,OUT,1,2,3,4,5,6,7,8,9,計
0,Par,4,3,4,4,4,3,5D,4,5,36
1,Champion,438,196,411,455,450,164,538,343,514,3509
2,Back,416,180,385,442,346,155,518,323,482,3247
3,Regular,398,158,365,400,350,126,515,296,475,3083
4,337,326,105,319,351,316,94,487,226,440,2664
5,Hdcp,9,15,3,7,1,13,5,17,11,­
