,南　IN,10,11,12,13,14,15,16,17,18,計
0,Par,3,4,4,5D,4,3N,4,5,4,36
1,Blue,200,409,430,520,420,164,419,485,355,3402
2,White,177,390,395,490,405,155,400,462,345,3219
3,Red,153,366,333,380,282,138,285,340,290,2567
4,Hdcp,10,16,4,2,8,14,12,6,18,­
