,南,1,2,3,4,5,6,7,8,9,計
0,Par,4,4,3N,4,4,5D,4,3N,5D,36
1,バック,420,366,201,440,370,570,370,182,560,3479
2,レギュラー,395,340,162,402,340,541,355,165,506,3206
3,レディース,312,274,124,269,291,436,304,123,449,2582
4,Hdcp,2,5,8,4,7,1,6,9,3,­
