,IN,10,11,12,13,14,15,16,17,18,計
0,Par,5,3N,4,4,4,3,4,4,5D,36
1,BLUE T.,521,160,407,418,385,209,385,468,550,3503
2,WHITE T.,479,132,369,375,347,155,352,429,523,3161
3,SILVER T.,471,121,352,363,336,146,341,413,495,3038
4,RED T.,461,110,312,287,326,115,260,356,403,2630
5,Hdcp,4,16,10,2,8,14,18,6,12,­
