,ニュー,1,2,3,4,5,6,7,8,9,計
0,Par,4,5D,4,3N,5,4,4D,3N,4,36
1,Champion,412,532,380,178,547,426,394,160,423,3452
2,Back,382,520,340,168,512,388,361,150,389,3210
3,Regular,360,504,319,148,501,377,351,129,377,3066
4,Fｒｏｎｔ,322,472,285,135,445,331,308,101,342,2741
5,Ladies,322,425,285,135,375,331,308,86,252,2519
6,Hdcp,8,2,5,7,1,4,3,9,6,­
