,アウト,1,2,3,4,5,6,7,8,9,計
0,Par,4,4,3N,4,4,4,5D,3N,5D,36
1,Champion,425,386,220,378,442,410,520,187,592,3560
2,Back,388,372,189,364,411,384,491,175,570,3344
3,Regular,370,353,156,346,398,359,471,153,541,3147
4,Fｒｏｎｔ,297,305,129,311,358,326,440,130,501,2797
5,Ladies,297,235,102,311,295,295,387,96,455,2473
6,Hdcp,5,9,2,7,1,4,3,8,6,­
