,東 ⇒ 西,1,2,3,4,5,6,7,8,9,計
0,Par,4,4,5D,3N,4,5,4,3,4,36
1,Champion,388,390,605,215,372,537,393,185,417,3502
2,Back,356,370,583,173,354,519,364,166,395,3280
3,Regular,333,345,551,155,340,499,339,146,348,3056
4,Ladies,303,318,527,120,312,480,305,141,312,2818
5,Hdcp,4,8,1,5,9,3,6,7,2,­
