,中,1,2,3,4,5,6,7,8,9,計
0,Par,4D,3,4,4,5,4,4,3N,5,36
1,Back T.,420,118,345,400,570,395,412,185,560,3405
2,Front T.,371,104,310,350,494,339,379,152,525,3024
3,Ladies T.,326,94,292,315,420,263,285,122,398,2515
4,Hdcp,2,9,8,4,5,3,1,6,7,­
