,綾川コースIN,10,11,12,13,14,15,16,17,18,計
0,Par,5,3N,4,4,5D,4,4,3,4,36
1,ﾊﾞｯｸ.T,505,189,405,452,520,383,320,191,321,3286
2,ﾌﾛﾝﾄ.T,471,146,381,361,491,344,315,144,294,2947
3,ｺﾞｰﾙﾄﾞ.T,445,117,353,337,472,317,291,123,271,2726
4,ﾚﾃﾞｨｰｽ.T,432,117,310,302,411,282,268,123,237,2482
5,Hdcp,10,4,16,2,8,14,18,12,6,­
