,IN,10,11,12,13,14,15,16,17,18,計
0,Par,5,4,3,5D,4,4,3N,4,4,36
1,Back,498,414,223,497,358,364,185,377,328,3244
2,REGULAR,475,366,179,483,335,345,153,356,302,2994
3,LADIES,450,252,114,379,293,287,124,287,248,2434
4,Hdcp,14,4,12,10,2,6,16,8,18,­
