,鹿庭　OUT,1,2,3,4,5,6,7,8,9,計
0,Par,5,3N,4,4,4,4,3,4,5D,36
1,Back,514,185,423,328,463,462,220,396,567,3558
2,Regular,499,170,409,306,398,443,196,377,540,3338
3,Front,469,145,389,297,398,372,165,329,509,3073
4,Ladies,413,135,279,297,268,338,144,318,444,2636
5,Hdcp,15,9,3,13,7,1,5,17,11,­
