,アウト,1,2,3,4,5,6,7,8,9,計
0,Par,5,4,4,4,3N,4,4,3,5D,36
1,Back,557,375,428,398,189,402,380,211,529,3469
2,Regular,512,350,419,380,169,386,357,179,501,3253
3,Front,496,335,400,362,150,360,357,164,490,3114
4,Ladies,414,262,267,305,119,279,335,152,388,2521
5,Hdcp,4,5,1,3,7,2,9,8,6,­
