,IN,10,11,12,13,14,15,16,17,18,計
0,Par,4,3N,5,4,4,4,5D,3,4,36
1,Back,432,175,538,348,399,342,490,175,404,3303
2,Regular,420,152,526,336,383,330,470,164,377,3158
3,Front,407,134,482,323,368,319,450,152,359,2994
4,Gold,384,119,420,310,320,299,426,144,343,2765
5,Ladies,370,119,420,274,227,276,426,135,321,2568
6,Hdcp,8,14,2,6,12,18,16,10,4,­
