,西,1,2,3,4,5,6,7,8,9,計
0,Par,4.0,5.0,3.0,4.0,4.0,4.0,3N,4.0,5D,36
1,Back T.,389.0,497.0,213.0,375.0,377.0,328.0,125,421.0,486,3211
2,Reg,374.0,468.0,176.0,355.0,354.0,317.0,114,402.0,475,3035
3,Hdcp,,,,,,,,,,­
