,氷上　OUT,1,2,3,4,5,6,7,8,9,計
0,Par,4,4,5,3N,4,4D,3,5,4,36
1,Back,390,328,542,155,309,418,182,502,376,3202
2,Regular,365,318,511,138,262,394,168,480,351,2987
3,Front,365,307,497,138,262,377,168,480,329,2923
4,Ladies,292,264,401,101,224,262,124,423,270,2361
5,Hdcp,3,15,9,13,7,1,17,11,5,­
