,イン,1,2,3,4,5,6,7,8,9,計
0,Par,3,4,4,5D,4,4,4,3N,5,36
1,Back,154,344,306,497,352,386,388,182,496,3105
2,Regular,144,330,291,485,337,378,374,168,485,2992
3,Front,143,316,282,473,310,368,361,155,465,2873
4,Ladies,133,256,254,378,273,295,318,155,434,2496
5,Hdcp,8,3,9,6,4,1,2,7,6,­
