,東,1,2,3,4,5,6,7,8,9,計
0,Par,5,3N,4,5,4,4,3,4,4D,36
1,Back T.,538,186,405,492,380,380,202,381,365,3329
2,Front T.,498,152,362,460,336,345,156,346,337,2992
3,Ladies T.,382,112,244,379,287,302,100,240,288,2334
4,Hdcp,2,5,1,7,3,6,4,9,8,­
