,寒川,1,2,3,4,5,6,7,8,9,計
0,Par,4,3,4,4,5,5,4D,3,4,36
1,Back,390,205,311,321,473,474,399,181,343,3097
2,Reg.,379,191,298,312,458,459,380,159,324,2960
3,Ladies,341,83,280,307,320,375,342,143,286,2477
4,Hdcp,6,10,16,14,8,4,2,18,12,­
