,IN,10,11,12,13,14,15,16,17,18,計
0,Par,4,5,4,4,3,4,4,3N,5D,36
1,黒,342,515,380,362,170,426,411,167,502,3275
2,青,328,502,369,350,138,407,394,145,490,3123
3,白,301,489,344,328,127,382,378,125,455,2929
4,金,281,463,318,316,115,364,325,104,434,2720
5,赤,281,379,263,244,103,333,305,92,419,2419
6,桃,246,291,263,244,103,272,271,92,321,2103
7,Hdcp,18,6,12,8,16,2,4,14,10,­
